Demographics and party identification of regular social media news consumers in the U.S.
% of U.S. adults who say they regularly get news from each social media site

,Nextdoor,WhatsApp,Threads,Rumble,Truth Social,Bluesky
Men,4%,4%,2%,2%,2%,2%
Women,9,6,3,2,2,1
Ages 18-29,5,5,4,2,1,2
30-49,6,6,4,2,1,2
50-64,7,5,2,3,3,1
65+,6,3,1,2,2,1
HS or less,6,7,4,3,3,1
Some college,7,3,2,2,2,1
College+,6,4,3,1,1,2
White,5,1,1,2,2,2
Black,9,8,6,2,1,1
Hispanic,9,15,5,2,2,1
Asian*,7,10,4,1,2,1
Rep/Lean Rep,6,4,2,4,4,<1
Dem/Lean Dem,7,6,4,1,1,3

"* Estimates for Asian adults are representative of English speakers only.
Note: The other response option was “No, don’t regularly get news on this.” Only respondents who indicated that they use each site were asked if they regularly get news on it. Social media sites are shown left to right in descending order by the share of U.S. adults who regularly get news there. White, Black and Asian adults include those who report being only one race and are not Hispanic; Hispanic adults are of any race."
"Source: Survey of U.S. adults conducted Aug. 18-24, 2025."
PEW RESEARCH CENTER
